ticker,name,sector,score,classification,roic,revenue_cagr_3yr,gross_margin,operating_margin,net_debt_to_ebitda,fcf_margin,dcf_upside_pct,current_price,dcf_intrinsic_value,shares_outstanding,red_flag_count,bottom_line,run_date
MGM,MGM Resorts International,Consumer Cyclical,42.6,Fails Quality Screen,0.01322799517772955,0.10136235579297104,0.4441938538859438,0.07628413627957581,17.065993834473964,0.08327502555497211,18.083545317295428,43.67,833.3784240062913,255851235.0,4,Fails Quality Screen / DCF: undervalued,2026-05-31
MCHP,Microchip Technology Incorporat,Technology,32.8,Disqualified,0.03283099940652903,-0.1764745300112236,0.5773482421336276,0.11241009102289364,4.494058733661517,0.18480405677791686,-0.9734175164726813,94.65,2.516032065860708,542079281.0,6,Disqualified / DCF: overvalued,2026-05-31
MU,"Micron Technology, Inc.",Technology,49.0,Fails Quality Screen,0.14968752432256438,0.06713489726936261,0.39790786023864305,0.2624270961528172,0.30492885354109184,0.04462518058751137,-0.9910980586551368,971.0,8.643785045862133,1127734051.0,5,Fails Quality Screen / DCF: overvalued,2026-05-31
MSFT,Microsoft Corporation,Technology,84.2,Elite Compounder,0.2766466578183805,0.12423114652863054,0.6882374238616519,0.4562195624085985,0.189467112040708,0.2541884965427156,-0.6370447372690982,450.24,163.41697749196123,7428434704.0,0,Elite Compounder / DCF: overvalued,2026-05-31
MAA,Mid-America Apartment Communiti,Real Estate,43.0,Fails Quality Screen,0.055382742738707094,0.030305400060254506,0.3052089378333332,0.2803995788379658,4.236835917280039,0.32498689526989405,-0.3382495092728752,129.07,85.41213583815,116384802.0,4,Fails Quality Screen / DCF: overvalued,2026-05-31
MRNA,"Moderna, Inc.",Healthcare,22.8,Disqualified,-0.32725615847428774,-0.5330301860051326,0.5483870967741935,-1.599375650364204,,-1.0796045785639958,,47.19,,396786259.0,7,Disqualified / DCF: unknown,2026-05-31
MHK,"Mohawk Industries, Inc.",Consumer Cyclical,54.8,Neutral — Monitor,0.03849294044169363,-0.02779358162194867,0.23872086338939677,0.047258330706325215,1.4056711438855236,0.057132790624362564,6.316836269679373,107.42,785.9745520889583,60953145.0,1,Neutral — Monitor / DCF: undervalued,2026-05-31
MOH,Molina Healthcare Inc,Healthcare,42.5,Fails Quality Screen,0.15432358349674707,0.12417996732758785,0.08970633557874345,0.01719279707656408,-0.305327868852459,-0.014000792497688548,,173.6,,52100000.0,5,Fails Quality Screen / DCF: unknown,2026-05-31
TAP,Molson Coors Beverage Company,Consumer Defensive,37.0,Fails Quality Screen,-0.11098992406679745,0.013516144991544188,0.3836887835703002,0.14637189429843458,,0.09584589975585237,5.240614910197895,39.53,246.6915074001228,175215417.0,5,Fails Quality Screen / DCF: undervalued,2026-05-31
MDLZ,"Mondelez International, Inc.",Consumer Defensive,49.4,Fails Quality Screen,0.0587051804260045,0.06956578215167708,0.2837532760723461,0.09393569816020966,3.9587608127137397,0.0839452993227288,0.2636164508191665,61.17,77.29541829660842,1283649766.0,2,Fails Quality Screen / DCF: undervalued,2026-05-31
MPWR,"Monolithic Power Systems, Inc.",Technology,77.7,Attractive Quality,0.24437770542032938,0.1586149467868072,0.551787716644466,0.26111689868942706,-1.3817210288946156,0.23768885333918183,-0.6903880305662855,1566.21,484.91736264677803,49130000.0,1,Attractive Quality / DCF: overvalued,2026-05-31
MNST,Monster Beverage Corporation,Consumer Defensive,79.7,Attractive Quality,0.19849277835579593,0.09536818669323455,0.5584764218214752,0.29168723791625206,-0.6765211865995473,0.23397247979737515,0.8406608047811576,88.08,162.12540368512435,978008110.0,1,Attractive Quality / DCF: undervalued,2026-05-31
MOS,Mosaic Company (The),Basic Materials,33.5,Disqualified,0.051442011981884056,-0.1426545439066701,0.15780259533370947,0.08950084630447049,1.9977239148664296,-0.04435631077627692,,23.9,,317846644.0,4,Disqualified / DCF: unknown,2026-05-31
MSI,"Motorola Solutions, Inc.",Technology,78.0,Attractive Quality,0.2305520207109496,0.08634515122371456,0.5166067454203047,0.2532956685499058,2.391715318320823,0.2201677794898134,0.019177570293574756,403.28,411.0139305479928,165995582.0,0,Attractive Quality / DCF: fair,2026-05-31
NTAP,"NetApp, Inc.",Technology,81.2,Elite Compounder,0.6715672635565838,0.01322518858633348,0.7019172245891662,0.21682897139379184,0.44319526627218936,0.20359099208764456,-0.421686964339415,174.29,100.79417898528335,197330400.0,2,Elite Compounder / DCF: overvalued,2026-05-31
NFLX,"Netflix, Inc.",Communication Services,87.8,Elite Compounder,0.3653624284773418,0.12639718371360664,0.48486575802475956,0.29494704605507255,0.17944880941642724,0.20939391943471883,0.03777103852604201,86.02,89.26906473401013,4210798528.0,1,Elite Compounder / DCF: fair,2026-05-31
NEM,Newmont Corporation,Basic Materials,90.8,Elite Compounder,0.23454814249916914,0.23911830284606483,0.5321363977237638,0.4862587674798183,-0.14604030655691172,0.32198156072169043,6.069370581784948,109.81,776.2875835858052,1067552764.0,1,Elite Compounder / DCF: undervalued,2026-05-31
NWSA,News Corporation,Communication Services,59.2,Neutral — Monitor,0.06930110598314645,-0.06634951064998074,,0.11310932323710364,0.3795053003533569,0.0675579744439186,-0.1973374161548632,26.1,20.949493438358072,363741494.0,2,Neutral — Monitor / DCF: overvalued,2026-05-31
NWS,News Corporation,Communication Services,59.2,Neutral — Monitor,0.06930110598314645,-0.06634951064998074,,0.11310932323710364,0.3795053003533569,0.0675579744439186,0.3686652322939142,29.82,40.81359722700452,182025150.0,2,Neutral — Monitor / DCF: undervalued,2026-05-31
NEE,"NextEra Energy, Inc.",Utilities,49.0,Fails Quality Screen,0.052761596032473414,0.09364770128221722,0.6226834962790019,0.2925725959433825,5.784890606495044,0.11713847949803007,,87.01,0,2085605358.0,4,Fails Quality Screen / DCF: unknown,2026-05-31
NKE,"Nike, Inc.",Consumer Cyclical,52.8,Neutral — Monitor,0.18538898178381918,-0.002869856686446237,0.42734673605562634,0.07994126411712627,0.7880266075388027,0.07056943574683107,-0.29715427003842254,46.23,32.49255809612372,1199499281.0,2,Neutral — Monitor / DCF: overvalued,2026-05-31
NI,NiSource Inc,Utilities,43.5,Fails Quality Screen,0.06104776189874626,0.04320705110154299,0.503989641986089,0.2757971756345789,5.286910272825766,-0.11950859654933606,,46.22,,479439245.0,5,Fails Quality Screen / DCF: unknown,2026-05-31
NDSN,Nordson Corporation,Industrials,58.4,Neutral — Monitor,0.11100150830787739,0.02527440495521427,0.5515604005749928,0.25943811036122605,2.3276465488011056,0.2368155885670564,-0.2906580455210474,287.33,203.81522378043744,55717948.0,0,Neutral — Monitor / DCF: overvalued,2026-05-31
NSC,Norfolk Southern Corporation,Industrials,58.1,Neutral — Monitor,0.1120670339011432,-0.015000939727698559,0.3634646962233169,0.37528735632183907,2.6965811965811968,0.1770935960591133,-0.8466024852931878,304.96,46.78010608498945,224594001.0,0,Neutral — Monitor / DCF: overvalued,2026-05-31
NOC,Northrop Grumman Corporation,Industrials,60.9,Neutral — Monitor,0.16354101185940237,0.04654085181148626,0.19814558802497975,0.1020164942556133,1.7510062456627342,0.07882442675311055,2.2168933391637644,563.68,1813.2984374198304,142033476.0,0,Neutral — Monitor / DCF: undervalued,2026-05-31
NCLH,Norwegian Cruise Line Holdings ,Consumer Cyclical,44.6,Fails Quality Screen,0.07907395690433394,0.2659644216614605,0.4261907698243883,0.15882507128908077,5.658171192079659,-0.1190383157949577,,18.34,,459110140.0,5,Fails Quality Screen / DCF: unknown,2026-05-31
NRG,"NRG Energy, Inc.",Utilities,51.0,Neutral — Monitor,0.10508064939841327,-0.008849172407267458,0.19379415882525314,0.06329567284211897,4.2995308552869,0.024908019405463486,-0.957142659725757,134.08,5.746312183970509,210986470.0,2,Neutral — Monitor / DCF: overvalued,2026-05-31
NUE,Nucor Corporation,Basic Materials,37.0,Fails Quality Screen,0.0839641394152072,-0.0783985002595462,0.11934510986643689,0.08183049178309842,1.1524419155998102,-0.005785683510801994,,250.0,,227740950.0,5,Fails Quality Screen / DCF: unknown,2026-05-31
NVDA,NVIDIA Corporation,Technology,87.5,Elite Compounder,0.7849461543738059,1.0004509499443963,0.7106808435754708,0.6038168363141272,0.0030092976921799767,0.44770258129648327,-0.5078083321292503,211.14,103.9213487542301,24221000000.0,1,Elite Compounder / DCF: overvalued,2026-05-31
NVR,"NVR, Inc.",Consumer Cyclical,67.2,Attractive Quality,0.4656648064810529,-0.006252610482764043,0.23094950659190888,0.16334783590355492,-0.47573620995583593,0.1060557376367563,-0.031509963512445775,6104.8,5912.437974749221,2699292.0,1,Attractive Quality / DCF: fair,2026-05-31
NXPI,NXP Semiconductors N.V.,Technology,55.2,Neutral — Monitor,0.1346152258803409,-0.02420874805294959,0.5473958757844976,0.2473714239139294,2.351931330472103,0.18607873502322927,-0.8706007516581047,321.35,41.58244845466806,252471079.0,2,Neutral — Monitor / DCF: overvalued,2026-05-31
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,76.4,Attractive Quality,0.36077131075701985,0.07260598606028323,0.5159231316716373,0.19461329191915056,2.0814696730060342,0.0895950239995609,-0.5437502395785436,86.88,39.638979185416126,828715079.0,0,Attractive Quality / DCF: overvalued,2026-05-31
OXY,Occidental Petroleum Corporatio,Energy,42.0,Fails Quality Screen,0.048618043845882065,-0.16155184276526158,0.3493261705182235,0.17237067568193395,1.8332475994513031,0.1901079053396934,0.7401001807709839,56.63,98.54187323706083,994634701.0,3,Fails Quality Screen / DCF: undervalued,2026-05-31
ODFL,"Old Dominion Freight Line, Inc.",Industrials,67.7,Attractive Quality,0.24204444532327002,-0.042440148127076416,0.3302830276386915,0.247625304540854,-0.04639763192270151,0.1737684505226977,-0.7799639966140552,225.15,49.541106162345486,207968283.0,1,Attractive Quality / DCF: overvalued,2026-05-31
OMC,Omnicom Group Inc.,Communication Services,14.9,Disqualified,0.024787232536698765,0.06523414722082599,0.08494143666880888,0.02574702262055709,4.708384258127597,0.16144141640468043,15.319756078640825,72.71,1186.6094644779744,285006196.0,9,Disqualified / DCF: undervalued,2026-05-31
ON,ON Semiconductor Corporation,Technology,36.4,Fails Quality Screen,0.020371338113347747,-0.10369233936412636,0.33090369283117055,0.1252793808586583,0.9650979509119567,0.23661473796577376,-0.8137912562554931,120.62,22.460498670462425,388803191.0,5,Fails Quality Screen / DCF: overvalued,2026-05-31
OKE,"ONEOK, Inc.",Energy,57.4,Neutral — Monitor,0.08665512643096791,0.1452650774509614,0.25995420619108506,0.17312438669005917,4.204186464620522,0.07276457819144191,0.430504751523732,83.94,120.07656884290206,630032852.0,2,Neutral — Monitor / DCF: undervalued,2026-05-31
ORCL,Oracle Corporation,Technology,49.0,Fails Quality Screen,0.13800075542571394,0.10588419257288817,0.70509939197547,0.3145002526176414,3.9025593844095017,-0.00686423108416523,,225.78,,2876046000.0,4,Fails Quality Screen / DCF: unknown,2026-05-31
OTIS,Otis Worldwide Corporation,Industrials,69.5,Attractive Quality,0.817122061572568,0.017850220319947985,0.30282031737232346,0.1537661977686924,3.097326649958229,0.10006236574041993,-0.3505386948956651,70.84,46.00783885359109,383716076.0,0,Attractive Quality / DCF: overvalued,2026-05-31
PCAR,PACCAR Inc.,Industrials,43.4,Fails Quality Screen,0.08122373779898034,-0.004355093626742135,0.16655065249184386,0.10412096411294859,2.4619038821883823,0.10649398132523344,0.23258549469510822,110.37,136.0404610494991,526286229.0,3,Fails Quality Screen / DCF: undervalued,2026-05-31
PKG,Packaging Corporation of Americ,Consumer Cyclical,51.1,Neutral — Monitor,0.09903049875161747,0.019711899650188602,0.21020546649906,0.13965492307521163,2.1798602034437686,0.08105191727943221,-0.45696749963291783,218.91,118.87524465535796,89098647.0,2,Neutral — Monitor / DCF: overvalued,2026-05-31
PANW,"Palo Alto Networks, Inc.",Technology,49.0,Fails Quality Screen,0.19261115282271904,0.18788250033170906,0.734143035297945,0.1347828444396248,-0.994538897475528,0.37627284064414684,-0.26757390806095765,281.69,206.31710583830883,811000000.0,4,Fails Quality Screen / DCF: overvalued,2026-05-31
